疾病,報告年,報告週,～6か月,～12か月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,10～14歳,15～19歳,20～29歳,30～39歳,40～49歳,50～59歳,60～69歳,70～79歳,80歳以上,合計,定点数,定点あたり報告数
インフルエンザ,2019,1,9,16,68,69,69,49,47,36,43,28,26,108,31,61,64,56,46,58,29,21,934,56,16.68
インフルエンザ,2019,2,11,48,132,146,123,118,87,90,70,52,32,156,75,134,127,134,95,104,71,62,1867,56,33.34
インフルエンザ,2019,3,12,25,94,140,103,109,95,89,37,40,34,178,62,73,93,93,72,56,50,38,1493,56,26.66
インフルエンザ,2019,4,3,14,87,86,95,106,113,113,100,87,51,323,96,54,64,85,62,54,44,38,1675,56,29.91
インフルエンザ,2019,5,4,20,88,87,125,188,140,152,164,159,117,362,53,60,66,69,37,39,23,22,1975,56,35.27
インフルエンザ,2019,6,3,21,63,65,117,115,111,112,95,84,79,280,36,36,50,54,33,36,29,20,1439,56,25.70
インフルエンザ,2019,7,1,16,46,43,44,51,51,51,39,44,37,130,39,41,40,76,36,25,16,14,840,56,15.00
インフルエンザ,2019,8,4,4,29,36,46,38,35,32,42,37,28,133,9,12,26,22,15,10,8,7,573,56,10.23
インフルエンザ,2019,9,0,13,29,21,35,41,27,32,23,20,31,85,5,10,8,13,12,13,7,10,435,56,7.77
インフルエンザ,2019,10,1,3,13,9,15,27,18,16,20,19,19,69,4,8,20,14,8,14,14,5,316,56,5.64
インフルエンザ,2019,11,0,6,16,12,14,34,14,10,24,19,12,44,12,2,7,7,6,6,7,2,254,56,4.54
インフルエンザ,2019,12,1,1,7,12,7,18,20,14,7,8,8,36,3,1,13,8,2,1,3,2,172,56,3.07
インフルエンザ,2019,13,0,0,2,7,7,2,5,6,3,2,2,16,3,4,3,2,6,3,4,4,81,56,1.45
インフルエンザ,2019,14,1,1,4,4,3,5,6,6,4,2,1,2,0,1,1,1,3,0,0,0,45,56,0.80
インフルエンザ,2019,15,0,2,0,5,6,2,3,2,3,1,1,7,3,1,2,2,1,0,0,1,42,56,0.75
インフルエンザ,2019,16,0,4,1,3,13,7,9,10,11,5,8,10,1,5,3,5,2,3,1,0,101,56,1.80
インフルエンザ,2019,17,0,0,3,3,4,4,5,8,4,7,4,10,6,2,4,1,0,1,0,1,67,56,1.20
インフルエンザ,2019,18,0,2,0,1,2,0,3,3,2,1,1,4,2,2,2,0,0,0,0,0,25,56,0.45
インフルエンザ,2019,19,0,0,3,5,1,0,0,1,1,1,1,7,2,4,1,3,0,1,1,0,32,56,0.57
インフルエンザ,2019,20,0,2,1,3,6,3,4,3,2,4,1,1,1,2,4,1,0,0,0,0,38,56,0.68
インフルエンザ,2019,21,0,1,0,2,0,2,4,4,1,1,3,2,1,0,2,0,0,0,0,0,23,56,0.41
インフルエンザ,2019,22,0,0,0,1,4,3,8,1,1,0,1,0,1,0,0,0,0,0,0,0,20,56,0.36
インフルエンザ,2019,23,0,0,1,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,6,56,0.11
インフルエンザ,2019,24,0,0,0,0,1,1,2,5,1,2,1,0,0,0,0,0,0,0,0,0,13,56,0.23
インフルエンザ,2019,25,0,0,0,1,2,0,2,0,9,2,0,0,0,1,0,0,0,0,0,0,17,56,0.30
インフルエンザ,2019,26,0,0,2,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,7,56,0.13
インフルエンザ,2019,27,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,56,0.05
インフルエンザ,2019,28,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,56,0.02
インフルエンザ,2019,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0.00
インフルエンザ,2019,30,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,56,0.04
インフルエンザ,2019,31,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,56,0.02
インフルエンザ,2019,32,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,3,56,0.05
インフルエンザ,2019,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0.00
インフルエンザ,2019,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0.00
インフルエンザ,2019,35,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,56,0.02
インフルエンザ,2019,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0.00
インフルエンザ,2019,37,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,56,0.05
インフルエンザ,2019,38,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,3,56,0.05
インフルエンザ,2019,39,0,0,2,0,2,1,2,2,0,1,1,0,0,0,1,1,0,0,1,0,14,56,0.25
